"runs","param1","param2","param3","sc1","sc2","sc3"
1,10,10,10,10676.0449785562,10711.4933673766,10691.5375731245
2,12,12,12,11132.2234587648,11155.0069838739,11145.6618821142
3,14,14,14,11530.9954111835,11548.924427635,11543.7243218711
4,16,16,16,11889.7899933515,11904.4553085032,11899.8116126442
5,18,18,18,12217.5518377692,12229.2547943554,12225.2899697302
6,20,20,20,12519.6598208593,12528.796404605,12525.5632488363
7,22,22,22,12800.1569304821,12807.1390947893,12804.5968459657
8,24,24,24,13062.1660447087,13067.383426099,13065.4486514391
9,26,26,26,13308.1540797942,13311.9567923124,13310.5312706867
10,28,28,28,13540.1067546675,13542.7992883438,13541.7849942215
11,30,30,30,13759.6482074955,13761.489109863,13760.7958743709
12,32,32,32,13968.1252458847,13969.3296974127,13968.8786989767
13,34,34,34,14166.6681580906,14167.4118637473,14167.1367625897
14,36,36,36,14356.235552681,14356.6590855332,14356.5058595907
15,38,38,38,14537.6480419016,14537.8611773557,14537.7872795021
16,40,40,40,14711.6139647588,14711.6997691761,14711.6729685688
17,42,42,42,14878.7493207883,14878.7678857951,14878.7650033127
18,44,44,44,15039.5934214436,15039.5852066348,15039.5908628119
19,46,46,46,15194.621325209,15194.6101109797,15194.6155499211
20,48,48,48,15344.2538237106,15344.2492962588,15344.2513158149
21,50,50,50,15488.865539718,15488.865539718,15488.865539718
