"runs","param1","param2","param3","sc1","sc2","sc3"
1,10,10,10,17063.0252990456,15532.8164049136,16942.9154978852
2,12,12,12,18006.9013301713,16369.47223066,17843.8732914186
3,14,14,14,18950.8571301157,17206.2588610761,18745.4231242824
4,16,16,16,19894.8630281929,18045.8813215847,19647.4613926437
5,18,18,18,20838.9024471433,19041.9627262657,20549.9305311265
6,20,20,20,21782.9653972139,20006.6878085793,21452.7962188936
7,22,22,22,22727.0454996413,20984.8783025969,22356.0369255411
8,24,24,24,23671.1384902225,21977.4060227644,23259.6386439824
9,26,26,26,24615.2414101192,22982.7933817975,24163.5920406539
10,28,28,28,25559.3521418513,24011.4566487892,25067.8908192096
11,30,30,30,26503.4691300825,25061.198951565,25972.5307354646
12,32,32,32,27447.5912066797,26141.1144282675,26877.5089825972
13,34,34,34,28391.7174772773,27252.8513830149,27782.823783578
14,36,36,36,29335.8472455129,28589.5984966488,28721.6217319298
15,38,38,38,30279.9799611054,30052.1881270934,30115.1050758902
16,40,40,40,31224.1151834571,31224.1151834571,31224.1151834572
