runs,param1,param2,param3,sc1,sc2,sc3,max,All_same,Very_different,Somewhat_different
1,100,100,100,21064.69123,20803.45403,20971.27276,20803,261.2,0.0,167.8
2,110.00,110.00,110.00,21639,21412,21554,21412,226.7,0.0,141.4
3,120.00,120.00,120.00,22187,21991,22110,21991,195.6,0.0,118.7
4,130.00,130.00,130.00,22711,22543,22642,22543,167.8,0.0,99.2
5,140.00,140.00,140.00,23214,23071,23154,23071,143.1,0.0,82.4
6,150.00,150.00,150.00,23698,23577,23645,23577,121.1,0.0,68.1
7,160.00,160.00,160.00,24165,24063,24119,24063,101.6,0.0,55.8
8,170.00,170.00,170.00,24616,24531,24577,24531,84.5,0.0,45.4
9,180.00,180.00,180.00,25051,24982,25019,24982,69.4,0.0,36.5
10,190.00,190.00,190.00,25474,25417,25446,25417,56.3,0.0,29.0
11,200.00,200.00,200.00,25883,25838,25861,25838,45.0,0.0,22.7
12,210.00,210.00,210.00,26281,26245,26263,26245,35.2,0.0,17.5
13,220.00,220.00,220.00,26667,26640,26653,26640,26.9,0.0,13.1
14,230.00,230.00,230.00,27043,27023,27033,27023,20.0,0.0,9.5
15,240.00,240.00,240.00,27409,27395,27402,27395,14.2,0.0,6.7
16,250.00,250.00,250.00,27766,27757,27761,27757,9.6,0.0,4.4
17,260.00,260.00,260.00,28114,28108,28111,28108,5.9,0.0,2.7
18,270.00,270.00,270.00,28454,28451,28453,28451,3.2,0.0,1.5
19,280.00,280.00,280.00,28786,28785,28786,28785,1.4,0.0,0.6
20,290.00,290.00,290.00,29111,29111,29111,29111,0.3,0.0,0.1
21,300.00,300.00,300.00,29428,29428,29428,29428,0.0,0.0,0.0
