runs,param1,param2,param3,sc1,sc2,sc3,max,All_same,Very_different,Somewhat_different
1,2.00,2.00,2.00,13293,12230,13238,12230,1063,0,1008
2,4.00,4.00,4.00,14233,13029,14124,13029,1204,0,1095
3,6.00,6.00,6.00,15176,13863,15138,13863,1313,0,1274
4,8.00,8.00,8.00,16119,14698,16043,14698,1421,0,1345
5,10.00,10.00,10.00,17063,15533,16943,15533,1530,0,1410
6,12.00,12.00,12.00,18007,16369,17844,16369,1637,0,1474
7,14.00,14.00,14.00,18951,17206,18745,17206,1745,0,1539
8,16.00,16.00,16.00,19895,18046,19647,18046,1849,0,1602
9,18.00,18.00,18.00,20839,19042,20550,19042,1797,0,1508
10,20.00,20.00,20.00,21783,20007,21453,20007,1776,0,1446
11,22.00,22.00,22.00,22727,20985,22356,20985,1742,0,1371
12,24.00,24.00,24.00,23671,21977,23260,21977,1694,0,1282
13,26.00,26.00,26.00,24615,22983,24164,22983,1632,0,1181
14,28.00,28.00,28.00,25559,24011,25068,24011,1548,0,1056
15,30.00,30.00,30.00,26503,25061,25973,25061,1442,0,911
16,32.00,32.00,32.00,27448,26141,26878,26141,1306,0,736
17,34.00,34.00,34.00,28392,27253,27783,27253,1139,0,530
18,36.00,36.00,36.00,29336,28590,28722,28590,746,0,132
19,38.00,38.00,38.00,30280,30052,30115,30052,228,0,63
20,40.00,40.00,40.00,31224,31224,31224,31224,0,0,0
