runs,param1,param2,param3,sc1,sc2,sc3,max,All_same,Very_different,Somewhat_different
1,0.02,0.02,0.02,14908,14935,14946,14908,0,27,38
2,0.04,0.04,0.04,15361,15215,15389,15215,146,0,175
3,0.06,0.06,0.06,15893,15555,15912,15555,338,0,356
4,0.08,0.08,0.08,16501,15973,16512,15973,528,0,539
5,0.10,0.10,0.10,17173,16486,17182,16486,687,0,697
6,0.12,0.12,0.12,17886,17105,17915,17105,781,0,810
7,0.14,0.14,0.14,18614,17830,18677,17830,785,0,847
8,0.16,0.16,0.16,19332,18646,19441,18646,686,0,795
9,0.18,0.18,0.18,20017,19529,20189,19529,487,0,660
10,0.20,0.20,0.20,20655,20458,20916,20458,197,0,458
11,0.22,0.22,0.22,21245,21414,21631,21245,0,168,385
12,0.24,0.24,0.24,22920,22382,22332,22332,588,50,0
13,0.26,0.26,0.26,23773,23353,23575,23353,420,0,222
14,0.28,0.28,0.28,24633,24320,24480,24320,313,0,160
15,0.30,0.30,0.30,25497,25278,25386,25278,219,0,108
16,0.32,0.32,0.32,26365,26225,26292,26225,140,0,67
17,0.34,0.34,0.34,27236,27157,27194,27157,79,0,37
18,0.36,0.36,0.36,28110,28075,28091,28075,35,0,16
19,0.38,0.38,0.38,28985,28977,28981,28977,9,0,4
20,0.40,0.40,0.40,29863,29863,29863,29863,0,0,0
