"runs","param1","param2","param3","sc1","sc2","sc3"
1,100,100,100,21064.6912264516,20803.4540321488,20971.2727571552
2,110,110,110,21638.9258233129,21412.2245891937,21553.6658795178
3,120,120,120,22186.7909763268,21991.1570659176,22109.8616059137
4,130,130,130,22711.1549056944,22543.3246038925,22642.4859088635
5,140,140,140,23214.3844377654,23071.3325108664,23153.7325139255
6,150,150,150,23698.4624965131,23577.4087034212,23645.4626560752
7,160,160,160,24165.0719047805,24063.4736181854,24119.2757909525
8,170,170,170,24615.6567124251,24531.1948065974,24576.5611961784
9,180,180,180,25051.4680705599,24982.0299938201,25018.5365450946
10,190,190,190,25473.5992093127,25417.2613664683,25446.2774405381
11,200,200,200,25883.0125533026,25838.0231277936,25860.7403869767
12,210,210,210,26280.5610513307,26245.3238335392,26262.7810057197
13,220,220,220,26667.0051759393,26640.0646494639,26653.168671672
14,230,230,230,27043.0266295122,27023.0543885769,27032.598430518
15,240,240,240,27409.2395119763,27395.0219861472,27401.7008111409
16,250,250,250,27766.1995069306,27756.6269175129,27761.0499862771
17,260,260,260,28114.4115026362,28108.4679676159,28111.1706201534
18,270,270,270,28454.3359679542,28451.0906272304,28452.5436602594
19,280,280,280,28786.3943191372,28784.9933831791,28785.6112709485
20,290,290,290,29110.9734847151,29110.6331230575,29110.7810702594
21,300,300,300,29428.4297524782,29428.4297524782,29428.4297524782
