"runs","param1","param2","param3","sc1","sc2","sc3"
1,2,2,2,13292.8316552248,12230.0089233838,13237.7930619953
2,4,4,4,14233.0356540719,13029.126017027,14123.6761498591
3,6,6,6,15175.8249255821,13863.1071330484,15137.5619955408
4,8,8,8,16119.287909884,14697.9627128715,16042.7556793167
5,10,10,10,17063.0252990456,15532.8164049136,16942.9154978852
6,12,12,12,18006.9013301713,16369.47223066,17843.8732914186
7,14,14,14,18950.8571301157,17206.2588610761,18745.4231242824
8,16,16,16,19894.8630281929,18045.8813215847,19647.4613926437
9,18,18,18,20838.9024471433,19041.9627262657,20549.9305311265
10,20,20,20,21782.9653972139,20006.6878085793,21452.7962188936
11,22,22,22,22727.0454996413,20984.8783025969,22356.0369255411
12,24,24,24,23671.1384902225,21977.4060227644,23259.6386439824
13,26,26,26,24615.2414101192,22982.7933817975,24163.5920406539
14,28,28,28,25559.3521418513,24011.4566487892,25067.8908192096
15,30,30,30,26503.4691300825,25061.198951565,25972.5307354646
16,32,32,32,27447.5912066797,26141.1144282675,26877.5089825972
17,34,34,34,28391.7174772773,27252.8513830149,27782.823783578
18,36,36,36,29335.8472455129,28589.5984966488,28721.6217319298
19,38,38,38,30279.9799611054,30052.1881270934,30115.1050758902
20,40,40,40,31224.1151834571,31224.1151834571,31224.1151834572
