"runs","param1","param2","param3","sc1","sc2","sc3"
1,0.02,0.02,0.02,14907.7771056576,14934.8247175453,14945.6910519002
2,0.04,0.04,0.04,15361.3236618746,15214.8427817134,15389.4294246046
3,0.06,0.06,0.06,15893.4005675608,15555.4927095423,15911.859556971
4,0.08,0.08,0.08,16501.2961864275,15973.3624853863,16512.1190508245
5,0.1,0.1,0.1,17172.6318416336,16485.7121040667,17182.3795881685
6,0.12,0.12,0.12,17885.9206286799,17104.6666185839,17914.8312470225
7,0.14,0.14,0.14,18614.4113936317,17829.6901992542,18677.074431512
8,0.16,0.16,0.16,19331.7080503573,18645.6387710963,19440.9805875475
9,0.18,0.18,0.18,20016.5703567929,19529.4583433468,20189.3987420291
10,0.2,0.2,0.2,20655.1695131848,20458.3612967273,20916.1833054492
11,0.22,0.22,0.22,21245.4830902921,21413.7935451297,21630.7937815382
12,0.24,0.24,0.24,22920.0119111427,22381.9411393308,22332.0755168059
13,0.26,0.26,0.26,23773.4361994766,23352.9441033369,23575.0634673378
14,0.28,0.28,0.28,24632.8926200927,24319.9318098351,24479.7111871964
15,0.3,0.3,0.3,25497.1212429272,25278.2130911579,25386.4067514917
16,0.32,0.32,0.32,26365.157598826,26224.6640993609,26291.9886276157
17,0.34,0.34,0.34,27236.2579663415,27157.2817567022,27194.02611089
18,0.36,0.36,0.36,28109.8445096271,28074.861783553,28090.6831996195
19,0.38,0.38,0.38,28985.4648591389,28976.7672494196,28980.5948565267
20,0.4,0.4,0.4,29862.7621908186,29862.7621908186,29862.7621908186
