"profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_2.1","profit_per_t.t_2.2","profit_per_t.t_2.3","run","tots"
61.1661426090853,61.1661426090867,218.839230540572,218.839230540572,218.839230540572,"Ex: Uniform Prices",778.849976839888
59.3423203301769,59.0214254594583,201.442963220227,211.538689265348,221.872419691393,"Ex: Uniform Prices",753.217817966603
57.8794445204627,57.2852229987425,187.455841437779,205.253396047194,223.686233087402,"Ex: Uniform Prices",731.56013809158
56.6629548994165,55.84093094409,176.00814861794,199.860354446179,224.604518460886,"Ex: Uniform Prices",712.976907368511
55.6237043691302,54.6136596198882,166.496117839268,195.231285612835,224.88738181758,"Ex: Uniform Prices",696.852149258701
54.71845687045,53.5537633942783,158.489065532842,191.248168650536,224.733283762805,"Ex: Uniform Prices",682.742738210911
53.9189716415873,52.6271158343068,151.672735126095,187.808497284117,224.288741119859,"Ex: Uniform Prices",670.316061005965
53.2058806907032,51.8093465861552,145.813220317116,184.825763962979,223.659468714634,"Ex: Uniform Prices",659.313680271587
52.565228466554,51.082394900205,140.733274818274,182.22798315987,222.920399147434,"Ex: Uniform Prices",649.529280492337
51.9864887817566,50.4324170002703,136.29637703508,179.955605403036,222.123812354556,"Ex: Uniform Prices",640.794700574699
51.4614050280026,49.8484886795905,132.395791108181,177.959424023018,221.30558655055,"Ex: Uniform Prices",632.970695389342
50.9832935449644,49.3217799832842,128.946920519791,176.198709593295,220.489858804288,"Ex: Uniform Prices",625.940562445623
50.5466112417372,48.8450145139671,125.881873451375,174.639636552117,219.692435921088,"Ex: Uniform Prices",619.605571680284
50.1466768375078,48.41210374756,123.145539568264,173.253993193709,218.923261994278,"Ex: Uniform Prices",613.881575341319
49.7794835248403,48.0178914928891,120.692716155429,172.018139195049,218.188190177007,"Ex: Uniform Prices",608.696420545214
49.4415675990479,47.6579695112434,118.485973723616,170.912168776623,217.490248246313,"Ex: Uniform Prices",603.987927856843
49.1299124906824,47.3285404315024,116.4940501116,169.919240237141,216.830538870881,"Ex: Uniform Prices",599.702282141807
48.8418760269235,47.0263130416528,114.690627389504,169.025038232081,216.208877537979,"Ex: Uniform Prices",595.79273222814
48.5751335364932,46.7484204100446,113.053389577856,168.21734124964,215.624242618539,"Ex: Uniform Prices",592.218527392573
48.3276321896644,46.4923545723435,111.563288865762,167.485672260347,215.075091150196,"Ex: Uniform Prices",588.944039038313
48.097553604807,46.2559135642516,110.203968413103,166.821015162981,214.559578772753,"Ex: Uniform Prices",585.938029517896
47.883282742025,46.0371578796478,108.961304026299,166.215583407397,214.075711351859,"Ex: Uniform Prices",583.173039407228
47.6833817156321,45.8343742785293,107.823037006004,165.66263014853,213.621448012066,"Ex: Uniform Prices",580.624871160761
47.4965675454364,45.6460454312515,106.778477598496,165.156291609927,213.194769704809,"Ex: Uniform Prices",578.27215188992
47.3216931210067,45.4708242686958,105.81826362272,164.691457139864,212.793723430594,"Ex: Uniform Prices",576.095961582881
47.1577308250679,45.3075121756881,104.934162587864,164.263660840301,212.41644936401,"Ex: Uniform Prices",574.079515792931
47.0037583824221,45.1550403564183,104.118908369376,163.868990730265,212.061196071146,"Ex: Uniform Prices",572.207893909627
46.8589465876984,45.0124538408502,103.366065555817,163.504012243169,211.726327530202,"Ex: Uniform Prices",570.467805757737
46.7225486299813,44.8788977059817,102.669916111154,163.165703508418,211.410324602866,"Ex: Uniform Prices",568.847390558401
46.5938907819065,44.7536051658343,102.025364155659,162.851400375053,211.111782839066,"Ex: Uniform Prices",567.336043317519
0,-1.97484382607439e-14,-1.1830706358323e-15,-2.96226573911159e-14,405,"Ex: Single High Price",405
0,0,-1.4296499429384e-14,-6.23305136671697e-14,415.454268292684,"Ex: Single High Price",415.454268292684
