"profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_2.1","profit_per_t.t_2.2","profit_per_t.t_2.3","run","tots"
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
4.5,4.5,4.5,4.5,4.5,"1",22.5
49.5000000000007,49.5000000000007,49.5000000000007,49.5000000000007,49.5000000000007,"10",247.500000000004
49.4999999999992,49.4999999999992,49.4999999999992,49.4999999999992,49.4999999999992,"10",247.499999999996
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
49.5,49.5,49.5,49.5,49.5,"10",247.5
99.5,99.5,99.5,99.5,99.5,"20",497.5
99.5,99.5,99.5,99.5,99.5,"20",497.5
99.5,99.5,99.5,99.5,99.5,"20",497.5
99.5,99.5,99.5,99.5,99.5,"20",497.5
99.5,99.5,99.5,99.5,99.5,"20",497.5
99.5,99.5,99.5,99.5,99.5,"20",497.5
