"profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","run","tots"
323.639027669281,323.639027669448,8.89192871177572,3.05283576196302e-13,-3.31341667167089e-14,"20 all",656.169984050505
313.268836677605,313.268836678291,8.6066307553311,0,1.55689779583701e-12,"20 all",635.144304111229
304.233198420624,304.233198420998,8.3581124838796,-2.86703007353471e-13,-3.05350697061043e-12,"20 all",616.824509325498
296.306413814916,296.306413814659,8.14013770599063,0,1.53170361254113e-12,"20 all",600.752965335567
289.311034341134,289.311034341312,7.94780730100718,0,1.46534338891126e-12,"20 all",586.569875983455
283.105502864769,283.105502865047,7.77721581336365,0,-1.43335465858825e-12,"20 all",573.988221543178
277.575435344611,277.575435344682,7.62520842337339,-2.61212908546603e-13,1.34817524232696e-12,"20 all",562.776079112668
272.627342212511,272.627342212565,7.48920881891983,0,2.7308911915568e-12,"20 all",552.743893243999
268.184027132622,268.184027132782,7.36708989315099,0,1.30173760484189e-12,"20 all",543.735144158556
264.18115723486,264.181157234653,7.25708034706487,0,-1.30889359194588e-12,"20 all",535.619394816576
260.564671831524,260.564671831401,7.15769162411054,0,2.65716968314549e-14,"20 all",528.287035287035
257.288796587545,257.288796587208,7.06766404439688,0,-3.84852019742211e-12,"20 all",521.645257219146
254.314504976262,254.314504976301,6.98592392397152,0,-1.31092138176315e-12,"20 all",515.614933876533
251.608312609613,251.608312609855,6.91155022602513,0,1.24540993484896e-12,"20 all",510.128175445494
249.141322815921,249.141322816027,6.84374860707928,2.34039459951611e-13,-2.49127969098374e-12,"20 all",505.126394239025
246.888465126791,246.888465126685,6.78182925588423,0,3.71499310612358e-12,"20 all",500.558759509364
244.827880393927,244.827880394015,6.72519168897043,-2.29914092775572e-13,-1.21114993924478e-12,"20 all",496.380952476911
242.9404230149,242.940423015047,6.67330981960404,-2.28108193625202e-13,1.20160732326374e-12,"20 all",492.554155849552
241.20925325677,241.209253256747,6.62572076085504,-2.26451326953616e-13,-2.4102622920076e-12,"20 all",489.044227274369
239.619501394175,239.619501394153,6.5820158879487,2.24929312251341e-13,2.43929202040371e-14,"20 all",485.821018676277
238.157989418032,238.157989418085,6.54183334004927,-2.23529587023983e-13,1.17741151332732e-12,"20 all",482.857812176167
236.812999361617,236.81299936177,6.50485114156089,2.22240984097367e-13,0,"20 all",480.130849864948
235.574078390656,235.574078390959,6.47078262955438,2.2105354504128e-13,-2.376593051634e-12,"20 all",477.618939411167
234.43187574641,234.431875746613,6.43937036992497,-2.19958362997244e-13,0,"20 all",475.303121862948
233.378002749986,233.378002750079,6.41038435103939,0,0,"20 all",473.166389851104
232.404915276926,232.404915276856,6.38361750506525,0,-1.19553774627903e-12,"20 all",471.193448058846
231.505812696972,231.505812697141,6.35888289674959,0,-1.16724013618951e-12,"20 all",469.370508290861
230.674550640166,230.674550640047,6.33601213224519,2.16351951822511e-13,1.16293207867491e-12,"20 all",467.685113412459
229.905566775038,229.905566774999,6.31485219749615,0,0,"20 all",466.125985747533
229.193815474683,229.193815474535,6.29526469128867,0,-2.33046066455382e-14,"20 all",464.682895640507
142.640189686769,142.640189686748,7.28947702444221e-15,-4.12124650800876e-15,-6.44795511605103e-12,"1,1,1,1,40",285.280379373511
138.143943720158,138.143943720138,4.70814499783311e-15,-2.66184206043936e-15,-2.93266993064011e-11,"1,1,1,1,40",276.287887440267
134.223428801577,134.223428801559,4.57603858741939e-15,-2.34183582098132e-12,-8.2347751505842e-11,"1,1,1,1,40",268.446857603051
130.782053391897,130.782053391913,8.92015470739973e-15,-6.64931868809903e-12,-2.62847958763076e-11,"1,1,1,1,40",261.564106783777
127.743700558034,127.743700558057,-2.1788482220217e-15,4.21895557462526e-12,-1.02465483432835e-11,"1,1,1,1,40",255.487401116085
125.047526456049,125.047526456063,-1.15691476614795e-30,-4.03321864549624e-12,3.33699712611952e-11,"1,1,1,1,40",250.095052912141
122.644278795782,122.644278795784,6.27879805108562e-15,-3.87226898261462e-12,1.3399618978503e-11,"1,1,1,1,40",245.288557591576
120.493638481307,120.493638481293,2.05669849273871e-15,-7.45205041680163e-12,-2.6186587591538e-15,"1,1,1,1,40",240.987276962593
118.562265699541,118.562265699527,4.04831708442682e-15,-1.80350434567517e-12,3.00677768676069e-11,"1,1,1,1,40",237.124531399096
116.822340823293,116.822340823261,5.9845323715774e-15,-1.74563250147172e-12,2.09751582443306e-11,"1,1,1,1,40",233.644681646573
115.250459162255,115.250459162229,1.96836091357079e-15,-1.69616309026121e-12,-1.36314374954871e-11,"1,1,1,1,40",230.500918324469
113.826782872288,113.826782872299,7.77749872395901e-15,1.25570181650517e-11,-4.01950285179871e-12,"1,1,1,1,40",227.653565744596
112.534382503628,112.534382503625,1.92260019784794e-15,-1.61545355711471e-12,-3.10800914113699e-11,"1,1,1,1,40",225.06876500722
111.358720267169,111.358720267165,1.90279252980169e-15,-1.54829261344806e-11,-2.33943748933823e-15,"1,1,1,1,40",222.717440534319
110.287240505484,110.28724050545,3.76948027522002e-15,-3.08779596827421e-12,2.23411411083175e-11,"1,1,1,1,40",220.574481010953
109.309042166621,109.309042166605,1.86825935996705e-15,-4.54634074455248e-12,-1.09805177725332e-11,"1,1,1,1,40",218.61808433321
108.414614653712,108.414614653703,3.70637992206289e-15,-1.80110876606091e-11,1.44386534069391e-11,"1,1,1,1,40",216.829229307411
107.595623122029,107.595623122019,-9.52932017967136e-14,-4.39570794114631e-12,-2.22833065789557e-15,"1,1,1,1,40",215.191246244043
106.844732696227,106.844732696244,1.82674044154006e-15,-1.44569684872271e-12,-1.40298717936851e-11,"1,1,1,1,40",213.689465392456
106.155463575914,106.15546357593,1.81512757068051e-15,-1.42587372548906e-12,5.47574407322092e-16,"1,1,1,1,40",212.310927151843
105.522070842191,105.522070842214,5.50274657981437e-29,-1.31895799057668e-11,-1.02645200881019e-11,"1,1,1,1,40",211.044141684382
104.939444159203,104.939444159205,5.38391988250422e-15,-2.77797728628739e-12,-2.70803797181122e-11,"1,1,1,1,40",209.878888318378
104.403023608371,104.403023608364,3.57120459386148e-15,-4.12277523122238e-12,-3.35129103163273e-11,"1,1,1,1,40",208.806047216697
103.908728686279,103.908728686294,-1.7772743696215e-15,2.7199423311688e-12,-1.3281105934375e-11,"1,1,1,1,40",207.817457372562
103.452898108546,103.452898108546,5.30878347857167e-15,-1.345459540733e-12,-1.64553645041086e-11,"1,1,1,1,40",206.905796217074
103.032238532852,103.032238532862,-1.76250718090192e-15,1.28779808613191e-11,0,"1,1,1,1,40",206.064477065727
