"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","run","tots"
50,50,50,50,50,"1",250
50.767536496223,46.3097419599272,50.767536496223,46.3097419599272,50.767536496223,"1",244.922093408523
51.4240872794177,43.0797505661177,51.4240872794177,43.0797505661177,51.4240872794177,"1",240.431762970489
51.9796187938656,40.2119154849951,51.9796187938656,40.2119154849951,51.9796187938656,"1",236.362687351587
52.4438079312099,37.6346201076391,52.4438079312099,37.6346201076391,52.4438079312099,"1",232.600664008908
52.8258228100266,35.2942711680679,52.8258228100266,35.2942711680679,52.8258228100266,"1",229.066010766216
53.1341789129626,33.1499132260408,53.1341789129626,33.1499132260408,53.1341789129626,"1",225.702363190969
53.3766558437244,31.1696863279969,53.3766558437244,31.1696863279969,53.3766558437244,"1",222.469340187167
53.5602606932801,29.3284280686743,53.5602606932801,29.3284280686743,53.5602606932801,"1",219.337638217189
53.6912256688347,27.6060099684138,53.6912256688347,27.6060099684138,53.6912256688347,"1",216.285696943332
53.7750296883527,25.9861586916422,53.7750296883527,25.9861586916422,53.7750296883527,"1",213.297406448343
53.8164357318755,24.4556055265763,53.8164357318755,24.4556055265763,53.8164357318755,"1",210.360518248779
53.8195376671789,23.0034631112928,53.8195376671789,23.0034631112928,53.8195376671789,"1",207.465539224122
53.787811940876,21.6207626213594,53.787811940876,21.6207626213594,53.787811940876,"1",204.604961065347
53.7241709187857,20.3001062655481,53.7241709187857,20.3001062655481,53.7241709187857,"1",201.772725287453
53.631015785052,19.0354039101128,53.631015785052,19.0354039101128,53.631015785052,"1",198.963855175382
53.5102878022084,17.821671846548,53.5102878022084,17.821671846548,53.5102878022084,"1",196.174207099721
53.363517433541,16.6548778515753,53.363517433541,16.6548778515753,53.363517433541,"1",193.400308003774
53.1918713752571,15.531820816411,53.1918713752571,15.531820816411,53.1918713752571,"1",190.639255758593
52.9961979719339,14.4500360049009,52.9961979719339,14.4500360049009,52.9961979719339,"1",187.888665925604
52.7770718202527,13.4077188632183,52.7770718202527,13.4077188632183,52.7770718202527,"1",185.146653187195
52.5348386156016,12.4036615300486,52.5348386156016,12.4036615300486,52.5348386156016,"1",182.411838906902
52.269661464463,11.4371969862558,52.269661464463,11.4371969862558,52.269661464463,"1",179.683378365901
51.9815699581725,10.5081462917066,51.9815699581725,10.5081462917066,51.9815699581725,"1",176.961002457931
51.6705132494544,9.61676471823943,51.6705132494544,9.61676471823943,51.6705132494544,"1",174.245069184842
51.3364181477348,8.76368293367383,51.3364181477348,8.76368293367383,51.3364181477348,"1",171.536620310552
50.9792527959106,7.94983985781538,50.9792527959106,7.94983985781538,50.9792527959106,"1",168.837438103363
50.5990957555008,7.17640453818476,50.5990957555008,7.17640453818476,50.5990957555008,"1",166.150096342872
50.196209272484,6.44468550964325,50.196209272484,6.44468550964325,50.196209272484,"1",163.477998836738
49.7711141350289,5.75602769755809,49.7711141350289,5.75602769755809,49.7711141350289,"1",160.825397800203
49.3246619613321,5.11169900325872,49.3246619613321,5.11169900325872,49.3246619613321,"1",158.197383890514
50,50,50,50,50,"10",250
48.4334605581676,48.4334605581676,48.4334605581676,48.4334605581676,48.4334605581676,"10",242.167302790838
47.067747885329,47.067747885329,47.067747885329,47.067747885329,47.067747885329,"10",235.338739426645
45.8691072218562,45.8691072218562,45.8691072218562,45.8691072218562,45.8691072218562,"10",229.345536109281
44.810952636888,44.8109526368879,44.810952636888,44.8109526368879,44.810952636888,"10",224.05476318444
43.8720424534905,43.8720424534905,43.8720424534905,43.8720424534905,43.8720424534905,"10",219.360212267453
43.035188782815,43.035188782815,43.035188782815,43.035188782815,43.035188782815,"10",215.175943914075
42.2863263016517,42.2863263016517,42.2863263016517,42.2863263016517,42.2863263016517,"10",211.431631508258
41.6138281876026,41.6138281876026,41.6138281876026,41.6138281876026,41.6138281876026,"10",208.069140938013
41.0079955498778,41.0079955498779,41.0079955498778,41.0079955498779,41.0079955498778,"10",205.039977749389
40.4606708576405,40.4606708576406,40.4606708576405,40.4606708576406,40.4606708576405,"10",202.303354288203
39.964941436074,39.9649414360741,39.964941436074,39.9649414360741,39.964941436074,"10",199.82470718037
39.514909350701,39.5149093507011,39.514909350701,39.5149093507011,39.514909350701,"10",197.574546753505
39.1055108830167,39.1055108830168,39.1055108830167,39.1055108830168,39.1055108830167,"10",195.527554415084
38.7323735046498,38.7323735046498,38.7323735046498,38.7323735046498,38.7323735046498,"10",193.661867523249
38.3917015250909,38.391701525091,38.3917015250909,38.391701525091,38.3917015250909,"10",191.958507625455
38.0801838920544,38.0801838920545,38.0801838920544,38.0801838920545,38.0801838920544,"10",190.400919460272
37.7949192703718,37.7949192703718,37.7949192703718,37.7949192703718,37.7949192703718,"10",188.974596351859
