"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","run","tots"
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"1",250
50,50,50,50,50,"10",250
49.9999999999999,49.9999999999999,49.9999999999999,49.9999999999999,49.9999999999999,"10",249.999999999999
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"10",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"20",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"30",250
50,50,50,50,50,"40",250
49.9999999999997,49.9999999999997,49.9999999999997,49.9999999999997,49.9999999999997,"40",249.999999999999
49.9999999999997,49.9999999999997,49.9999999999997,49.9999999999997,49.9999999999997,"40",249.999999999999
50.0000000000001,50.0000000000001,50.0000000000001,50.0000000000001,50.0000000000001,"40",250.000000000001
49.9999999999998,49.9999999999998,49.9999999999998,49.9999999999998,49.9999999999998,"40",249.999999999999
49.9999999999995,49.9999999999995,49.9999999999995,49.9999999999995,49.9999999999995,"40",249.999999999997
49.9999999999993,49.9999999999993,49.9999999999993,49.9999999999993,49.9999999999993,"40",249.999999999996
49.9999999999988,49.9999999999988,49.9999999999988,49.9999999999988,49.9999999999988,"40",249.999999999994
49.9999999999986,49.9999999999986,49.9999999999986,49.9999999999986,49.9999999999986,"40",249.999999999993
49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,"40",249.999999999992
49.9999999999983,49.9999999999983,49.9999999999983,49.9999999999983,49.9999999999983,"40",249.999999999992
49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,"40",249.999999999992
49.9999999999989,49.9999999999989,49.9999999999989,49.9999999999989,49.9999999999989,"40",249.999999999994
49.9999999999993,49.9999999999993,49.9999999999993,49.9999999999993,49.9999999999993,"40",249.999999999996
49.9999999999991,49.9999999999991,49.9999999999991,49.9999999999991,49.9999999999991,"40",249.999999999995
49.9999999999989,49.9999999999989,49.9999999999989,49.9999999999989,49.9999999999989,"40",249.999999999994
49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,"40",249.999999999992
49.9999999999986,49.9999999999986,49.9999999999986,49.9999999999986,49.9999999999986,"40",249.999999999993
49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,"40",249.999999999992
49.9999999999983,49.9999999999983,49.9999999999983,49.9999999999983,49.9999999999983,"40",249.999999999992
49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,"40",249.999999999992
49.9999999999989,49.9999999999989,49.9999999999989,49.9999999999989,49.9999999999989,"40",249.999999999994
49.9999999999993,49.9999999999993,49.9999999999993,49.9999999999993,49.9999999999993,"40",249.999999999996
49.9999999999991,49.9999999999991,49.9999999999991,49.9999999999991,49.9999999999991,"40",249.999999999995
49.9999999999989,49.9999999999989,49.9999999999989,49.9999999999989,49.9999999999989,"40",249.999999999994
49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,"40",249.999999999992
49.9999999999986,49.9999999999986,49.9999999999986,49.9999999999986,49.9999999999986,"40",249.999999999993
49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,"40",249.999999999992
49.9999999999983,49.9999999999983,49.9999999999983,49.9999999999983,49.9999999999983,"40",249.999999999992
49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,49.9999999999985,"40",249.999999999992
49.9999999999989,49.9999999999989,49.9999999999989,49.9999999999989,49.9999999999989,"40",249.999999999994
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"50",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"60",250
50,50,50,50,50,"70",250
50,50,50,50,50,"70",250
50,50,50,50,50,"70",250
50,50,50,50,50,"70",250
50,50,50,50,50,"70",250
50,50,50,50,50,"70",250
50,50,50,50,50,"70",250
50,50,50,50,50,"70",250
50,50,50,50,50,"70",250
50,50,50,50,50,"70",250
