"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","effort.t_1","effort.t_2","effort.t_2.1","effort.t_2.2","effort.t_2.3","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_2.1","profit_per_t.t_2.2","profit_per_t.t_2.3","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","mortality1","mortality2"
50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.10015959455979
49.9999999999999,49.9999999999999,49.9999999999999,49.9999999999999,49.9999999999999,5.00000000000014,5.00000000000014,5.00000000000014,5.00000000000014,5.00000000000014,0.500000000000014,0.500000000000014,0.500000000000014,0.500000000000014,0.500000000000014,100.500000000003,100.500000000003,100.500000000003,100.500000000003,100.500000000003,200.000000000006,150.000000000004,100.000000000003,50.0000000000014,5.00000000000014,0.1,0.10015959455979
49.9999999999999,49.9999999999999,49.9999999999999,49.9999999999999,49.9999999999999,4.99999999999999,4.99999999999999,4.99999999999999,4.99999999999999,4.99999999999999,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,199.999999999999,150,99.9999999999997,49.9999999999999,4.99999999999999,0.1,0.10015959455979
49.9999999999999,49.9999999999999,49.9999999999999,49.9999999999999,49.9999999999999,4.99999999999999,4.99999999999999,4.99999999999999,4.99999999999999,4.99999999999999,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,199.999999999999,150,99.9999999999997,49.9999999999999,4.99999999999999,0.1,0.10015959455979
50,50,50,50,50,4.99999999999985,4.99999999999985,4.99999999999985,4.99999999999985,4.99999999999985,0.499999999999986,0.499999999999986,0.499999999999986,0.499999999999986,0.499999999999986,100.499999999997,100.499999999997,100.499999999997,100.499999999997,100.499999999997,199.999999999994,149.999999999995,99.9999999999969,49.9999999999985,4.99999999999985,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,100.5,100.5,100.5,100.5,100.5,200,150,100,50,5,0.1,0.10015959455979
