"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","effort.t_1","effort.t_2","effort.t_2.1","effort.t_2.2","effort.t_2.3","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_2.1","profit_per_t.t_2.2","profit_per_t.t_2.3","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","mortality1","mortality2"
50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,349.5,349.5,349.5,349.5,349.5,350,350,350,350,350,0.1,0.1
