"s_1","s_2","s_3","s_4","s_5","s_1.1","s_2.1","s_3.1","s_4.1","s_5.1","t_1","t_2","t_2.1","t_2.2","t_2.3","t_1.1","t_2.4","t_2.1.1","t_2.2.1","t_2.3.1","c(extract[[i]]$mortality1)","c(extract[[i]]$mortality2)","tot_profit","tot_biomass"
50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
50,50,50,50,50,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,43.5,43.5,43.5,43.5,43.5,0.1,0.1,2.5,250
