basket,species,biomass
1,s_1,30.35520070042163
1,s_2,36.254271131221905
1,s_3,37.0977425780333
1,s_4,42.82159845992862
1,s_5,44.440449127233606
2,s_1,30.35520070042163
2,s_2,36.254271131221905
2,s_3,37.0977425780333
2,s_4,42.82159845992862
2,s_5,44.440449127233606
3,s_1,30.355200700420745
3,s_2,36.25427113122349
3,s_3,37.097742578028324
3,s_4,42.82159845993035
3,s_5,44.440449127232355
4,s_1,30.35520070042125
4,s_2,36.25427113122231
4,s_3,37.09774257803428
4,s_4,42.82159845993287
4,s_5,44.440449127232
5,s_1,30.355200700420745
5,s_2,36.25427113122349
5,s_3,37.097742578028324
5,s_4,42.82159845993035
5,s_5,44.440449127232355
6,s_1,30.35520070042125
6,s_2,36.25427113122231
6,s_3,37.09774257803428
6,s_4,42.82159845993287
6,s_5,44.440449127232
7,s_1,26.26513712044574
7,s_2,36.0353078760586
7,s_3,37.78227854290077
7,s_4,43.02016360939374
7,s_5,45.0575904809871
8,s_1,26.26513712044574
8,s_2,36.0353078760586
8,s_3,37.78227854290077
8,s_4,43.02016360939374
8,s_5,45.0575904809871
9,s_1,24.512294902803383
9,s_2,28.896967256231125
9,s_3,61.930087227920765
9,s_4,40.25518330035575
9,s_5,44.64209238346733
10,s_1,24.512294902803383
10,s_2,28.896967256231125
10,s_3,61.930087227920765
10,s_4,40.25518330035575
10,s_5,44.64209238346733
11,s_1,26.377938938975177
11,s_2,36.06005574802877
11,s_3,37.475807115745724
11,s_4,44.299982682806835
11,s_5,45.1642769392701
12,s_1,22.856634912398594
12,s_2,11.090198362479489
12,s_3,40.084689732644826
12,s_4,50.50600778675027
12,s_5,45.58315935252888
13,s_1,24.33895996926934
13,s_2,36.174601526083386
13,s_3,37.310505418078975
13,s_4,44.12970355260504
13,s_5,45.56853269580621
14,s_1,28.51108273020451
14,s_2,36.045794460832894
14,s_3,37.44010032860564
14,s_4,43.035000659077625
14,s_5,46.99425843563928
15,s_1,23.303734818092707
15,s_2,16.333210934816687
15,s_3,44.73928433833866
15,s_4,47.7294619091683
15,s_5,44.618045687010465
16,s_1,35.85368273575152
16,s_2,32.94012051593721
16,s_3,32.86056282625539
16,s_4,37.484983050928875
16,s_5,40.775992058711495
17,s_1,22.628774596319598
17,s_2,31.39067188509817
17,s_3,25.05271466428335
17,s_4,75.99988098029024
17,s_5,37.239150182256395
18,s_1,26.377938938975177
18,s_2,36.06005574802877
18,s_3,37.475807115745724
18,s_4,44.299982682806835
18,s_5,45.1642769392701
19,s_1,22.856634912398594
19,s_2,11.090198362479489
19,s_3,40.084689732644826
19,s_4,50.50600778675027
19,s_5,45.58315935252888
20,s_1,28.51108273020451
20,s_2,36.045794460832894
20,s_3,37.44010032860564
20,s_4,43.035000659077625
20,s_5,46.99425843563928
21,s_1,23.303734818092707
21,s_2,16.333210934816687
21,s_3,44.73928433833866
21,s_4,47.7294619091683
21,s_5,44.618045687010465
22,s_1,22.628774596319598
22,s_2,31.39067188509817
22,s_3,25.05271466428335
22,s_4,75.99988098029024
22,s_5,37.239150182256395
23,s_1,35.85368273575152
23,s_2,32.94012051593721
23,s_3,32.86056282625539
23,s_4,37.484983050928875
23,s_5,40.775992058711495
24,s_1,24.33895996926934
24,s_2,36.174601526083386
24,s_3,37.310505418078975
24,s_4,44.12970355260504
24,s_5,45.56853269580621
25,s_1,26.265137120445292
25,s_2,36.035307876058695
25,s_3,37.782278542899405
25,s_4,43.020163609394295
25,s_5,45.05759048098655
26,s_1,26.26513712044403
26,s_2,36.03530787606075
26,s_3,37.78227854290199
26,s_4,43.02016360938753
26,s_5,45.05759048098488
27,s_1,26.377938938977454
27,s_2,36.06005574802811
27,s_3,37.4758071157426
27,s_4,44.299982682811034
27,s_5,45.16427693927327
28,s_1,24.33895996926934
28,s_2,36.174601526083386
28,s_3,37.310505418078975
28,s_4,44.12970355260504
28,s_5,45.56853269580621
29,s_1,22.856634912398594
29,s_2,11.090198362479489
29,s_3,40.084689732644826
29,s_4,50.50600778675027
29,s_5,45.58315935252888
30,s_1,28.511082730204496
30,s_2,36.045794460831694
30,s_3,37.44010032860817
30,s_4,43.03500065907885
30,s_5,46.994258435638876
31,s_1,35.85368273575152
31,s_2,32.94012051593721
31,s_3,32.86056282625539
31,s_4,37.484983050928875
31,s_5,40.775992058711495
32,s_1,23.303734818138945
32,s_2,16.333210934802107
32,s_3,44.739284338093924
32,s_4,47.72946190922338
32,s_5,44.61804568712097
33,s_1,22.628774596319598
33,s_2,31.39067188509817
33,s_3,25.05271466428335
33,s_4,75.99988098029024
33,s_5,37.239150182256395
34,s_1,24.51229490260648
34,s_2,28.896967256068407
34,s_3,61.93008722798219
34,s_4,40.25518330089741
34,s_5,44.642092383052976
35,s_1,24.51229490280334
35,s_2,28.896967256231022
35,s_3,61.9300872279213
35,s_4,40.25518330035806
35,s_5,44.64209238346669
36,s_1,26.37793893897621
36,s_2,36.06005574802796
36,s_3,37.47580711574664
36,s_4,44.29998268280798
36,s_5,45.16427693927154
37,s_1,28.511082730204496
37,s_2,36.045794460831694
37,s_3,37.44010032860817
37,s_4,43.03500065907885
37,s_5,46.994258435638876
38,s_1,22.628774596320326
38,s_2,31.39067188509895
38,s_3,25.05271466429375
38,s_4,75.999880980292
38,s_5,37.23915018225491
39,s_1,23.303734818091577
39,s_2,16.33321093481641
39,s_3,44.739284338334215
39,s_4,47.72946190916966
39,s_5,44.61804568700882
40,s_1,35.85368273575152
40,s_2,32.94012051593721
40,s_3,32.86056282625539
40,s_4,37.484983050928875
40,s_5,40.775992058711495
41,s_1,22.85663491239845
41,s_2,11.09019836247982
41,s_3,40.084689732646986
41,s_4,50.50600778675152
41,s_5,45.583159352527915
42,s_1,24.33895997157421
42,s_2,36.174601525261096
42,s_3,37.310505419513866
42,s_4,44.129703553545156
42,s_5,45.568532699626594
43,s_1,26.265137120445292
43,s_2,36.035307876058695
43,s_3,37.782278542899405
43,s_4,43.020163609394295
43,s_5,45.05759048098655
44,s_1,26.26513712044403
44,s_2,36.03530787606075
44,s_3,37.78227854290199
44,s_4,43.02016360938753
44,s_5,45.05759048098488
45,s_1,26.377938938977454
45,s_2,36.06005574802811
45,s_3,37.4758071157426
45,s_4,44.299982682811034
45,s_5,45.16427693927327
46,s_1,24.33895996926934
46,s_2,36.174601526083386
46,s_3,37.310505418078975
46,s_4,44.12970355260504
46,s_5,45.56853269580621
47,s_1,28.511082730204496
47,s_2,36.045794460831694
47,s_3,37.44010032860817
47,s_4,43.03500065907885
47,s_5,46.994258435638876
48,s_1,35.85368273575152
48,s_2,32.94012051593721
48,s_3,32.86056282625539
48,s_4,37.484983050928875
48,s_5,40.775992058711495
49,s_1,22.628774596319598
49,s_2,31.39067188509817
49,s_3,25.05271466428335
49,s_4,75.99988098029024
49,s_5,37.239150182256395
50,s_1,23.303734818138945
50,s_2,16.333210934802107
50,s_3,44.739284338093924
50,s_4,47.72946190922338
50,s_5,44.61804568712097
51,s_1,22.856634912398594
51,s_2,11.090198362479489
51,s_3,40.084689732644826
51,s_4,50.50600778675027
51,s_5,45.58315935252888
52,s_1,26.37793893897621
52,s_2,36.06005574802796
52,s_3,37.47580711574664
52,s_4,44.29998268280798
52,s_5,45.16427693927154
53,s_1,28.511082730204496
53,s_2,36.045794460831694
53,s_3,37.44010032860817
53,s_4,43.03500065907885
53,s_5,46.994258435638876
54,s_1,22.628774596320326
54,s_2,31.39067188509895
54,s_3,25.05271466429375
54,s_4,75.999880980292
54,s_5,37.23915018225491
55,s_1,35.85368273575152
55,s_2,32.94012051593721
55,s_3,32.86056282625539
55,s_4,37.484983050928875
55,s_5,40.775992058711495
56,s_1,23.303734818091577
56,s_2,16.33321093481641
56,s_3,44.739284338334215
56,s_4,47.72946190916966
56,s_5,44.61804568700882
57,s_1,24.33895997157421
57,s_2,36.174601525261096
57,s_3,37.310505419513866
57,s_4,44.129703553545156
57,s_5,45.568532699626594
