V1,basket
11293.584262782333,1
11293.584262782333,2
11293.584262782333,3
11293.584262782333,4
11293.584262782333,5
11293.584262782333,6
11311.910389582523,7
11311.910389582523,8
11171.045885340565,9
11171.045885340565,10
11301.006455775721,11
10531.379582157382,12
11308.968240108761,13
11283.49698037805,14
10833.356511905833,15
11227.513328923145,16
10588.798945690842,17
11301.006455775721,18
10531.379582157382,19
11283.49698037805,20
10833.356511905833,21
10588.798945690842,22
11227.513328923145,23
11308.968240108761,24
11311.910389582523,25
11311.910389582521,26
11301.006455775718,27
11308.968240108761,28
10531.379582157382,29
11283.496980378048,30
11227.513328923145,31
10833.356511905835,32
10588.798945690842,33
11171.045885340563,34
11171.045885340563,35
11301.00645577572,36
11283.496980378048,37
10588.798945690842,38
10833.356511905833,39
11227.513328923145,40
10531.379582157382,41
11308.96824010876,42
11311.910389582523,43
11311.910389582521,44
11301.006455775718,45
11308.968240108761,46
11283.496980378048,47
11227.513328923145,48
10588.798945690842,49
10833.356511905835,50
10531.379582157382,51
11301.00645577572,52
11283.496980378048,53
10588.798945690842,54
11227.513328923145,55
10833.356511905833,56
11308.96824010876,57
10531.379582157382,58
11171.045885340563,59
11171.045885340563,60
11171.045885340565,61
11171.045885340565,62
11311.910389582523,63
11311.910389582523,64
10531.379582157382,65
11301.00645577572,66
11308.968240108761,67
10833.356511905833,68
11283.496980378048,69
11227.512829021594,70
10588.798945690844,71
10531.379582157382,72
11301.00645577572,73
10833.356511905833,74
11283.496980378048,75
10588.798945690844,76
11227.512829021594,77
11308.968240108761,78
11293.584262782335,79
11293.584262782335,80
11293.584262782333,81
11293.584262782333,82
11293.584262782333,83
11293.584262782333,84
11308.968240108761,85
11301.00645577572,86
10531.379582157382,87
11227.512829021594,88
11283.496980378044,89
10833.356511905835,90
10588.798945690842,91
11311.910389582523,92
11311.910389582521,93
11171.045885340563,94
11171.045885340563,95
10588.798945690842,96
11283.496980378048,97
10833.356511905833,98
11227.513328923145,99
11301.006455775718,100
10531.379582157382,101
11308.96824010876,102
11308.968240108761,103
11301.00645577572,104
11227.512829021594,105
11283.496980378044,106
10588.798945690842,107
10833.356511905835,108
10531.379582157382,109
11311.910389582523,110
11311.910389582521,111
10588.798945690842,112
11283.496980378048,113
11227.513328923145,114
10833.356511905833,115
11301.006455775718,116
11308.96824010876,117
10531.379582157382,118
11171.045885340563,119
11171.045885340563,120
