basket,species,biomass
1,s_1,27.371633731565144
1,s_2,30.162671920506433
1,s_3,60.25627842499974
1,s_4,40.11195576484841
1,s_5,43.58533519847748
2,s_1,27.371633731565144
2,s_2,30.162671920506433
2,s_3,60.25627842499974
2,s_4,40.11195576484841
2,s_5,43.58533519847748
3,s_1,25.784627045100706
3,s_2,12.136101414839285
3,s_3,39.6125785979347
3,s_4,51.01939975629986
3,s_5,45.40562602040994
4,s_1,30.409494681760226
4,s_2,36.22997195261411
4,s_3,37.179577596961636
4,s_4,43.257224646656944
4,s_5,44.4453501338911
5,s_1,27.21680361170518
5,s_2,15.198304256165176
5,s_3,43.46695061514519
5,s_4,46.895670700911325
5,s_5,45.566692508017695
6,s_1,28.358779295054536
6,s_2,38.299311403389034
6,s_3,56.37649147398867
6,s_4,26.924721600379627
6,s_5,40.871892619065065
7,s_1,22.565109333569186
7,s_2,57.62324459954396
7,s_3,36.94422422323775
7,s_4,40.81733083296104
7,s_5,26.050931920305032
8,s_1,25.784627045100706
8,s_2,12.136101414839285
8,s_3,39.6125785979347
8,s_4,51.01939975629986
8,s_5,45.40562602040994
9,s_1,27.21680361170518
9,s_2,15.198304256165176
9,s_3,43.46695061514519
9,s_4,46.895670700911325
9,s_5,45.566692508017695
10,s_1,22.565109333569186
10,s_2,57.62324459954396
10,s_3,36.94422422323775
10,s_4,40.81733083296104
10,s_5,26.050931920305032
11,s_1,28.358779295054536
11,s_2,38.299311403389034
11,s_3,56.37649147398867
11,s_4,26.924721600379627
11,s_5,40.871892619065065
12,s_1,30.409494681760226
12,s_2,36.22997195261411
12,s_3,37.179577596961636
12,s_4,43.257224646656944
12,s_5,44.4453501338911
13,s_1,26.381495138091168
13,s_2,36.05741268579129
13,s_3,37.728802942718644
13,s_4,44.19909146850875
13,s_5,45.101263025373
14,s_1,24.29007655533535
14,s_2,23.479413468863136
14,s_3,23.31296232592571
14,s_4,74.55473992656066
14,s_5,43.88319049479941
15,s_1,25.524350112661587
15,s_2,36.56782393548576
15,s_3,57.68588380884006
15,s_4,26.396702643375153
15,s_5,42.69738533113096
16,s_1,19.3794741417034
16,s_2,22.996511423250453
16,s_3,58.956022064226175
16,s_4,46.8799062570364
16,s_5,26.176388457714943
17,s_1,23.399744674934084
17,s_2,30.736475231820506
17,s_3,28.254302913801357
17,s_4,76.10885545156853
17,s_5,36.54461852453373
18,s_1,24.86355955387957
18,s_2,29.448308511688953
18,s_3,62.43685478517141
18,s_4,41.777138734316736
18,s_5,44.77004172709782
19,s_1,22.823779567891773
19,s_2,10.657851321060459
19,s_3,43.91425150855227
19,s_4,47.7143863533311
19,s_5,45.64639329761525
20,s_1,27.00356394605849
20,s_2,29.133948013862046
20,s_3,61.140854201699646
20,s_4,40.22072074140459
20,s_5,46.62088899889918
21,s_1,19.36677526802551
21,s_2,16.35866963540094
21,s_3,53.889248100068755
21,s_4,23.55748530421428
21,s_5,39.19877073752124
22,s_1,22.051458186077436
22,s_2,13.307261252769294
22,s_3,41.48098469697571
22,s_4,75.65557904849125
22,s_5,36.517107879319035
23,s_1,26.79387193955494
23,s_2,31.216979239522054
23,s_3,24.521217575271024
23,s_4,74.70082956344055
23,s_5,39.374743564509515
24,s_1,25.654324493806623
24,s_2,15.552466966719543
24,s_3,44.01378316620857
24,s_4,48.238788894706644
24,s_5,44.17794589942102
25,s_1,24.289490752308154
25,s_2,33.84885351144774
25,s_3,62.73095120041474
25,s_4,42.791076958859
25,s_5,39.87981156512788
26,s_1,27.292053228329838
26,s_2,12.390662952215962
26,s_3,39.84122837580008
26,s_4,50.33267587919782
26,s_5,47.30179735972053
27,s_1,21.16316679311491
27,s_2,21.080246675286478
27,s_3,32.66695909001324
27,s_4,75.23849661932803
27,s_5,32.865675959019
28,s_1,35.85368273575142
28,s_2,18.96888247502249
28,s_3,37.256435758974405
28,s_4,40.98548489924725
28,s_5,43.28566091539834
29,s_1,28.561173411222676
29,s_2,36.05662362686924
29,s_3,37.330758170384804
29,s_4,43.65604870492916
29,s_5,46.96413265327281
30,s_1,23.37481158651391
30,s_2,16.42611232754421
30,s_3,44.44212157290498
30,s_4,48.61671550073352
30,s_5,44.59537947949545
31,s_1,35.85368273575154
31,s_2,35.38329963623594
31,s_3,38.95722485452917
31,s_4,43.947088521269066
31,s_5,42.34451802986112
32,s_1,26.381495138091168
32,s_2,36.05741268579129
32,s_3,37.728802942718644
32,s_4,44.19909146850875
32,s_5,45.101263025373
33,s_1,25.524350112661587
33,s_2,36.56782393548576
33,s_3,57.68588380884006
33,s_4,26.396702643375153
33,s_5,42.69738533113096
34,s_1,23.399744674934084
34,s_2,30.736475231820506
34,s_3,28.254302913801357
34,s_4,76.10885545156853
34,s_5,36.54461852453373
35,s_1,19.3794741417034
35,s_2,22.996511423250453
35,s_3,58.956022064226175
35,s_4,46.8799062570364
35,s_5,26.176388457714943
36,s_1,24.29007655533535
36,s_2,23.479413468863136
36,s_3,23.31296232592571
36,s_4,74.55473992656066
36,s_5,43.88319049479941
37,s_1,26.79387193955494
37,s_2,31.216979239522054
37,s_3,24.521217575271024
37,s_4,74.70082956344055
37,s_5,39.374743564509515
38,s_1,24.289490752308154
38,s_2,33.84885351144774
38,s_3,62.73095120041474
38,s_4,42.791076958859
38,s_5,39.87981156512788
39,s_1,25.654324493806623
39,s_2,15.552466966719543
39,s_3,44.01378316620857
39,s_4,48.238788894706644
39,s_5,44.17794589942102
40,s_1,28.561173411222676
40,s_2,36.05662362686924
40,s_3,37.330758170384804
40,s_4,43.65604870492916
40,s_5,46.96413265327281
41,s_1,35.85368273575154
41,s_2,35.38329963623594
41,s_3,38.95722485452917
41,s_4,43.947088521269066
41,s_5,42.34451802986112
42,s_1,23.37481158651391
42,s_2,16.42611232754421
42,s_3,44.44212157290498
42,s_4,48.61671550073352
42,s_5,44.59537947949545
43,s_1,27.292053228329838
43,s_2,12.390662952215962
43,s_3,39.84122837580008
43,s_4,50.33267587919782
43,s_5,47.30179735972053
44,s_1,35.85368273575142
44,s_2,18.96888247502249
44,s_3,37.256435758974405
44,s_4,40.98548489924725
44,s_5,43.28566091539834
45,s_1,21.16316679311491
45,s_2,21.080246675286478
45,s_3,32.66695909001324
45,s_4,75.23849661932803
45,s_5,32.865675959019
46,s_1,24.86355955387957
46,s_2,29.448308511688953
46,s_3,62.43685478517141
46,s_4,41.777138734316736
46,s_5,44.77004172709782
47,s_1,27.00356394605849
47,s_2,29.133948013862046
47,s_3,61.140854201699646
47,s_4,40.22072074140459
47,s_5,46.62088899889918
48,s_1,22.051458186077436
48,s_2,13.307261252769294
48,s_3,41.48098469697571
48,s_4,75.65557904849125
48,s_5,36.517107879319035
49,s_1,19.36677526802551
49,s_2,16.35866963540094
49,s_3,53.889248100068755
49,s_4,23.55748530421428
49,s_5,39.19877073752124
50,s_1,22.823779567891773
50,s_2,10.657851321060459
50,s_3,43.91425150855227
50,s_4,47.7143863533311
50,s_5,45.64639329761525
51,s_1,22.823779567891773
51,s_2,10.657851321060459
51,s_3,43.91425150855227
51,s_4,47.7143863533311
51,s_5,45.64639329761525
52,s_1,24.86355955387881
52,s_2,29.448308511689294
52,s_3,62.43685478517128
52,s_4,41.77713873431654
52,s_5,44.77004172709656
53,s_1,19.36677526802551
53,s_2,16.35866963540094
53,s_3,53.889248100068755
53,s_4,23.55748530421428
53,s_5,39.19877073752124
54,s_1,27.003563946058676
54,s_2,29.13394801386097
54,s_3,61.140854201699035
54,s_4,40.220720741403284
54,s_5,46.62088899889989
55,s_1,22.05145818610058
55,s_2,13.307261252771946
55,s_3,41.480984696986354
55,s_4,75.65557904849868
55,s_5,36.51710787936181
56,s_1,24.29007655533535
56,s_2,23.479413468863136
56,s_3,23.31296232592571
56,s_4,74.55473992656066
56,s_5,43.88319049479941
57,s_1,26.381495138091168
57,s_2,36.05741268579129
57,s_3,37.728802942718644
57,s_4,44.19909146850875
57,s_5,45.101263025373
58,s_1,19.3794741417034
58,s_2,22.996511423250453
58,s_3,58.956022064226175
58,s_4,46.8799062570364
58,s_5,26.176388457714943
59,s_1,25.524350112661587
59,s_2,36.56782393548576
59,s_3,57.68588380884006
59,s_4,26.396702643375153
59,s_5,42.69738533113096
60,s_1,23.39974467482992
60,s_2,30.736475231837243
60,s_3,28.2543029136813
60,s_4,76.10885545153619
60,s_5,36.54461852436008
61,s_1,21.16316679311491
61,s_2,21.080246675286478
61,s_3,32.66695909001324
61,s_4,75.23849661932803
61,s_5,32.865675959019
62,s_1,27.2920532283307
62,s_2,12.390662952215607
62,s_3,39.84122837579893
62,s_4,50.33267587919616
62,s_5,47.30179735972242
63,s_1,35.85368273575142
63,s_2,18.96888247502249
63,s_3,37.256435758974405
63,s_4,40.98548489924725
63,s_5,43.28566091539834
64,s_1,25.654324493806467
64,s_2,15.552466966719619
64,s_3,44.01378316620968
64,s_4,48.238788894706616
64,s_5,44.177945899420614
65,s_1,26.793871939555057
65,s_2,31.216979239520153
65,s_3,24.521217575271752
65,s_4,74.70082956344042
65,s_5,39.37474356451
66,s_1,24.289490752308154
66,s_2,33.84885351144774
66,s_3,62.73095120041474
66,s_4,42.791076958859
66,s_5,39.87981156512788
67,s_1,23.37481158651391
67,s_2,16.42611232754421
67,s_3,44.44212157290498
67,s_4,48.61671550073352
67,s_5,44.59537947949545
68,s_1,28.56117341122515
68,s_2,36.056623626875094
68,s_3,37.33075817039014
68,s_4,43.656048704932616
68,s_5,46.96413265327398
69,s_1,35.85368273575155
69,s_2,35.38329963623644
69,s_3,38.95722485452813
69,s_4,43.94708852126829
69,s_5,42.34451802986094
70,s_1,30.409494681759295
70,s_2,36.22997195261214
70,s_3,37.17957759696057
70,s_4,43.25722464665627
70,s_5,44.44535013389054
71,s_1,25.784627045101438
71,s_2,12.136101414839764
71,s_3,39.61257859794223
71,s_4,51.019399756300416
71,s_5,45.40562602040971
72,s_1,28.358779295054536
72,s_2,38.299311403389034
72,s_3,56.37649147398867
72,s_4,26.924721600379627
72,s_5,40.871892619065065
73,s_1,27.21680361085432
73,s_2,15.198304256053255
73,s_3,43.46695061666688
73,s_4,46.895670699557975
73,s_5,45.56669250681669
74,s_1,22.565109333569186
74,s_2,57.62324459954396
74,s_3,36.94422422323775
74,s_4,40.81733083296104
74,s_5,26.050931920305032
75,s_1,27.37163373156039
75,s_2,30.162671920507798
75,s_3,60.25627842499358
75,s_4,40.111955764827464
75,s_5,43.585335198474965
