V1,basket
11192.417826001407,1
11192.417826001407,2
10586.526985159855,3
11290.850606235479,4
10696.32578220965,5
10971.278995585259,6
10830.147547431754,7
10586.526985159855,8
10696.32578220965,9
10830.147547431754,10
10971.278995585259,11
11290.850606235479,12
11302.380873194235,13
10602.718263090148,14
10946.515798753844,15
10812.779341436431,16
10577.043158001017,17
11160.03815786772,18
10508.177968028045,19
11150.640496086868,20
10368.407224765135,21
10091.910911479124,22
10617.876528695168,23
10719.961953244469,24
11144.092121799149,25
10575.959621554204,26
10425.70479498394,27
10873.850590749824,28
11280.354993276245,29
10830.562897211837,30
11261.469078050524,31
11302.380873194235,32
10946.515798753844,33
10577.043158001017,34
10812.779341436431,35
10602.718263090148,36
10617.876528695168,37
11144.092121799149,38
10719.961953244469,39
11280.354993276245,40
11261.469078050524,41
10830.562897211837,42
10575.959621554204,43
10873.850590749824,44
10425.70479498394,45
11160.03815786772,46
11150.640496086868,47
10091.910911479124,48
10368.407224765135,49
10508.177968028045,50
10508.177968028045,51
11160.038157867722,52
10368.407224765135,53
11150.640496086868,54
10091.910911479123,55
10602.718263090148,56
11302.380873194235,57
10812.779341436431,58
10946.515798753844,59
10577.043158001019,60
10425.70479498394,61
10575.959621554204,62
10873.850590749824,63
10719.961953244469,64
10617.876528695166,65
11144.092121799149,66
10830.562897211837,67
11280.354993276243,68
11261.469078050526,69
11290.850606235479,70
10586.526985159857,71
10971.278995585259,72
10696.325782209648,73
10830.147547431754,74
11192.417826001405,75
